Date,Close,High,Low,Open,Volume
2025-03-04,4614.64990234375,4634.0,4523.0498046875,4591.2001953125,140023
2025-03-05,4696.5,4706.75,4572.14990234375,4610.0,257069
2025-03-06,4746.2001953125,4780.0,4676.5,4696.5,112602
2025-03-07,4738.0498046875,4782.35009765625,4675.0498046875,4730.0,186716
2025-03-10,4632.5,4757.0,4608.0,4738.0,102551
2025-03-11,4777.75,4790.0,4610.0,4610.0,85295
2025-03-12,4749.39990234375,4805.89990234375,4696.5,4775.0,99185
2025-03-13,4706.9501953125,4779.9501953125,4681.39990234375,4779.9501953125,72930
2025-03-17,4818.14990234375,4840.0,4725.0,4729.5,160256
2025-03-18,4818.14990234375,4818.14990234375,4818.14990234375,4818.14990234375,0
2025-03-19,4851.7998046875,4855.0,4789.0,4840.0,60266
2025-03-20,4906.2001953125,4944.5,4842.10009765625,4880.0,88230
2025-03-21,4979.0,5016.75,4881.5,4904.0,151296
2025-03-24,5052.5498046875,5092.39990234375,4960.5498046875,5015.0,84099
2025-03-25,5033.2001953125,5090.0,4938.7998046875,5087.0,84337
2025-03-26,5003.2001953125,5080.0,4966.60009765625,5029.0,88764
2025-03-27,4960.14990234375,5003.0,4905.0,5003.0,128003
2025-03-28,4881.7001953125,4980.64990234375,4848.0,4939.14990234375,151360
2025-04-01,4835.5498046875,4950.0,4804.5498046875,4889.9501953125,32852
2025-04-02,4887.7001953125,4906.25,4788.0,4856.64990234375,75912
2025-04-03,4971.5498046875,5012.9501953125,4911.89990234375,4929.9501953125,192699
2025-04-04,4828.7001953125,4929.25,4738.5498046875,4900.0,83897
2025-04-07,4700.5,4733.9501953125,4611.85009765625,4623.0,141582
2025-04-08,4837.14990234375,4876.75,4700.64990234375,4799.4501953125,79702
2025-04-09,4838.85009765625,4852.5,4755.10009765625,4772.14990234375,69215
2025-04-11,4887.4501953125,4909.35009765625,4840.0,4900.0,50959
2025-04-15,4920.7998046875,4950.0,4852.0,4900.0,97788
2025-04-16,4957.60009765625,4985.39990234375,4913.60009765625,4949.89990234375,64140
2025-04-17,4953.2998046875,4989.5,4881.10009765625,4979.0,45830
2025-04-21,5000.39990234375,5008.0,4921.0,4960.0,97952
2025-04-22,5013.60009765625,5075.0,4988.7001953125,5010.0,43203
2025-04-23,5233.0,5250.5,5020.0,5064.89990234375,162739
2025-04-24,5201.2001953125,5299.0,5165.5,5268.0,138180
2025-04-25,5033.5,5238.0,4990.0,5238.0,78196
2025-04-28,5025.7998046875,5088.0,4995.0,4999.0,51506
2025-04-29,5030.7998046875,5047.2998046875,4960.7001953125,5028.10009765625,53059
2025-04-30,5116.0,5165.89990234375,5041.0,5041.0,114595
2025-05-02,5071.5,5139.5,5053.0,5120.0,34000
2025-05-05,5085.5,5150.0,5041.0,5050.0,29925
2025-05-06,5023.5,5095.5,5001.0,5061.0,33502
2025-05-07,5033.0,5055.0,4975.0,4978.0,35691
2025-05-08,4939.5,5033.0,4920.5,5025.0,154258
2025-05-09,4946.5,4961.0,4850.0,4850.0,53048
2025-05-12,5020.5,5065.5,4935.0,4969.0,155478
2025-05-13,5126.5,5145.0,5025.0,5028.5,50438
2025-05-14,5127.0,5159.5,5046.5,5147.5,104601
2025-05-15,5277.0,5320.5,5099.0,5163.0,117398
2025-05-16,5221.0,5316.0,5200.0,5300.0,93472
2025-05-19,5324.0,5400.0,5192.0,5225.0,179313
2025-05-20,5259.0,5374.0,5243.5,5324.0,69748
2025-05-21,5374.0,5400.0,5255.0,5258.0,209543
2025-05-22,5299.0,5388.0,5213.5,5384.5,224391
2025-05-23,5288.0,5319.0,5240.0,5297.0,79856
2025-05-26,5249.0,5367.0,5218.5,5349.0,121077
2025-05-27,5266.0,5295.0,5211.0,5285.0,59890
2025-05-28,5264.5,5284.0,5214.5,5266.0,79161
2025-05-29,5294.5,5327.0,5154.0,5291.0,312981
2025-05-30,5098.5,5268.0,5043.5,5110.0,724829
2025-06-02,5096.5,5105.0,5004.0,5077.0,171037
2025-06-03,4996.5,5118.0,4972.0,5093.0,167913
2025-06-04,4868.5,4988.0,4857.5,4944.0,709078
2025-06-05,4843.5,4925.0,4826.5,4869.0,151598
2025-06-06,4862.5,4923.0,4811.0,4868.0,181782
2025-06-09,4873.5,4890.0,4845.0,4889.0,83010
2025-06-10,4959.0,5005.0,4877.0,4898.0,300251
2025-06-11,4885.5,5005.0,4818.5,4971.5,448188
2025-06-12,4846.5,4956.5,4812.0,4911.0,244289
2025-06-13,4847.5,4855.0,4743.5,4805.0,382701
2025-06-16,4868.0,4882.5,4794.0,4832.0,71534
2025-06-17,4813.0,4881.5,4795.0,4877.0,93153
2025-06-18,4805.0,4847.5,4775.0,4840.0,120503
2025-06-19,4782.0,4822.5,4757.0,4811.0,79205
2025-06-20,4773.5,4812.0,4743.5,4770.0,809748
2025-06-23,4760.0,4809.0,4730.5,4774.5,85004
2025-06-24,4811.0,4837.0,4756.5,4793.5,123314
2025-06-25,4854.0,4863.0,4821.0,4832.0,234015
2025-06-26,4841.0,4872.0,4824.5,4850.0,323731
2025-06-27,4906.5,4920.0,4855.0,4865.0,113855
2025-06-30,4939.0,4943.5,4902.5,4930.5,71583
2025-07-01,4849.0,4945.0,4820.0,4942.0,220023
2025-07-02,4874.7998046875,4896.5,4828.60009765625,4849.0,73736
2025-07-03,4822.0,4892.10009765625,4813.60009765625,4890.0,191430
2025-07-04,4886.2998046875,4898.89990234375,4824.2998046875,4845.0,94037
2025-07-07,4877.2998046875,4905.7998046875,4843.0,4895.0,86304
2025-07-08,4800.89990234375,4885.5,4770.2001953125,4878.0,89141
2025-07-09,4805.39990234375,4838.89990234375,4788.0,4790.0,69073
2025-07-10,4732.7998046875,4817.39990234375,4716.2001953125,4805.0,255925
2025-07-11,4806.7001953125,4846.2998046875,4731.60009765625,4779.89990234375,183075
